transaction_id,date,description,amount,reference
TX0057,2026-08-11,Flipkart,2558,REF00057
TX0058,2026-08-09,PAYTM SERVICES,16097,REF00058
TX0059,2026-08-05,Zomato,35839,REF00059
TX0060,2026-08-14,Zomato,31496,REF00060
TX0061,2026-08-14,Flipkart,6852,REF00061
TX0062,2026-08-15,Uber,27441,REF00062
TX0063,2026-08-21,Tata Motors,43324,REF00063
TX0064,2026-08-11,Amazon India,26886,REF00064
TX0065,2026-08-07,Zomato,13056,REF00065
TX0066,2026-08-06,Swiggy,28148,REF00066
TX0067,2026-08-03,Ola,16871,REF00067
TX0068,2026-08-04,Jio,36566,REF00068
TX0069,2026-08-01,Tata Motors,35927,REF00069
TX0070,2026-08-08,Wipro,49885,REF00070
TX0071,2026-08-16,Uber,32326,REF00071
TX0072,2026-08-02,Infosys,26782,REF00072
TX0073,2026-08-13,Uber,641,REF00073
TX0074,2026-08-10,Wipro,30319,REF00074
TX0075,2026-08-18,Airtel,48374,REF00075
TX0076,2026-08-10,Swiggy,12945,REF00076
TX0077,2026-08-18,AMZN PAY INDIA,38457,REF00077
TX0078,2026-08-02,Airtel,21052,REF00078
TX0079,2026-08-17,Meesho,31746,REF00079
TX0080,2026-08-03,Amazon India,33781,REF00080
TX0081,2026-08-03,Flipkart,39496,REF00081
TX0082,2026-08-19,Uber,8356,REF00082
TX0083,2026-08-02,Meesho,39462,REF00083
TX0084,2026-08-19,Uber,43581,REF00084
TX0085,2026-08-07,Wipro,17589,REF00085
TX0086,2026-08-13,Zomato,17907,REF00086
TX0087,2026-08-10,Tata Motors,42803,REF00087
TX0088,2026-08-03,Myntra,49774,REF00088
TX0089,2026-08-19,Ola,41208,REF00089
TX0090,2026-08-07,Flipkart,35734,REF00090
TX0091,2026-08-03,Swiggy,23372,REF00091
TX0092,2026-08-06,MYNTRA ONLINE,19176,REF00092
TX0093,2026-08-10,Infosys,36100,REF00093
TX0094,2026-08-10,Tata Motors,36846,REF00094
TX0095,2026-08-09,Wipro,9300,REF00095
TX0096,2026-08-18,Wipro,7514,REF00096
TX0097,2026-08-20,Reliance Retail,18965,REF00097
TX0098,2026-08-07,Airtel,22971,REF00098
TX0099,2026-08-09,PAYTM SERVICES,32516,REF00099
TX0100,2026-08-14,Flipkart,42068,REF00100
TX0101,2026-08-11,Amazon India,732,REF00101
TX0102,2026-08-06,Tata Motors,17667,REF00102
TX0103,2026-08-14,Paytm,46746,REF00103
TX0104,2026-08-05,Flipkart,5431,REF00104
TX0105,2026-08-19,Infosys,24696,REF00105
TX0106,2026-08-02,Uber,8852,REF00106
TX0107,2026-08-12,MYNTRA ONLINE,3114,REF00107
TX0108,2026-08-04,Tata Motors,16853,REF00108
TX0109,2026-08-14,Jio,37192,REF00109
TX0110,2026-08-06,Wipro,16014,REF00110
TX0111,2026-08-01,Wipro,27520,REF00111
TX0112,2026-08-14,Airtel,22270,REF00112
TX0113,2026-08-04,RELIANCE RETAIL LTD,10933,REF00113
TX0114,2026-08-16,Infosys,3037,REF00114
TX0115,2026-08-12,Zomato,30666,REF00115
TX0116,2026-08-08,Infosys,15415,REF00116
TX0117,2026-08-13,Tata Motors,13156,REF00117
TX0118,2026-08-09,Reliance Retail,5049,REF00118
TX0119,2026-08-13,Tata Motors,33884,REF00119
TX0120,2026-08-09,AMZN PAY INDIA,8059,REF00120
TX0121,2026-08-02,Meesho,17897,REF00121
TX0122,2026-08-12,Meesho,28979,REF00122
TX0123,2026-08-17,Uber,40228,REF00123
TX0124,2026-08-07,Uber,38287,REF00124
TX0125,2026-08-14,Amazon India,46950,REF00125
TX0126,2026-08-07,Paytm,35787,REF00126
TX0127,2026-08-11,UBER INDIA,5085,REF00127
TX0128,2026-08-10,Tata Motors,8667,REF00128
TX0129,2026-08-11,Tata Motors,27264,REF00129
TX0130,2026-08-18,Airtel,19876,REF00130
TX0131,2026-08-13,Zomato,28054,REF00131
TX0132,2026-08-10,Meesho,37796,REF00132
TX0133,2026-08-10,Paytm,526,REF00133
TX0134,2026-08-19,Zomato,28673,REF00134
TX0135,2026-08-15,Ola,29452,REF00135
TX0136,2026-08-06,Paytm,31510,REF00136
TX0137,2026-08-21,Reliance Retail,34280,REF00137
TX0138,2026-08-08,Flipkart,49726,REF00138
TX0139,2026-08-05,Zomato,13550,REF00139
TX0140,2026-08-16,Amazon India,16546,REF00140
TX0141,2026-08-21,OLA CABS INDIA,27660,REF00141
TX0142,2026-08-13,Airtel,46136,REF00142
TX0143,2026-08-05,Uber,16489,REF00143
TX0144,2026-08-04,Wipro,49715,REF00144
TX0145,2026-08-17,Zomato,12026,REF00145
TX0146,2026-08-08,Amazon India,37030,REF00146
TX0147,2026-08-15,Ola,9238,REF00147
TX0148,2026-08-20,Jio,29504,REF00148
TX0149,2026-08-15,Infosys,36405,REF00149
TX0150,2026-08-15,Airtel,31608,REF00150
TX0045_DUP,2026-08-19,Amazon India,16285,REF00045
TX0048_DUP,2026-08-18,Tata Motors,31648,REF00048
TX0059_DUP,2026-08-05,Zomato,35839,REF00059
TX0074_DUP,2026-08-10,Wipro,30319,REF00074
TX0077_DUP,2026-08-18,AMZN PAY INDIA,38457,REF00077
TX0079_DUP,2026-08-17,Meesho,31746,REF00079
TX0090_DUP,2026-08-07,Flipkart,35734,REF00090
TX0103_DUP,2026-08-14,Paytm,46746,REF00103
TX0112_DUP,2026-08-14,Airtel,22270,REF00112
TX0133_DUP,2026-08-10,Paytm,526,REF00133
